Anio;Nivel;rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;prom_lect2m_rbd;prom_mate2m_rbd;palu_eda_insuficiente_lect2m_rbd;palu_eda_insuficiente_mate2m_rbd;total_profesores;total_hh;total_prioritarios;total_beneficiarios;total_matriculados;promedio_asistencia;latitud;longitud;pago_mensual
2022;2m;4687;6;COLEGIO ALEMAN DE CONCEPCIÓN;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;4;3;5;1;275;314;30,5;12,3;117;4019;30;0;1516;94,3115693;-36,850473;-73,09295;MAS DE $100.000
2022;2m;4688;4;CHARLES DE GAULLE;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;4;3;5;1;273;303;33,3;14,7;105;2877;42;0;1239;93,23738872;-36,830802;-73,04575;MAS DE $100.000
2022;2m;4689;2;COLEGIO CONCEPCION;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;4;3;5;1;273;292;31,8;29,4;54;1924;107;0;972;90,74857143;-36,857386;-73,04931;MAS DE $100.000
2022;2m;4691;4;COLEGIO CHILENO ARABE;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;3;2;5;1;288;286;17,2;27,6;48;1986;211;0;673;86,85193622;-36,903419;-73,027344;$50.001 A $100.000
2022;2m;4694;9;SAINT JOHN´S SCHOOL;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;4;3;5;1;283;320;20,5;10,5;126;4467;17;0;1077;93,35574572;-36,862266;-73,105351;MAS DE $100.000
2022;2m;4698;1;SAN PEDRO NOLASCO;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;4;3;5;1;242;280;50;39,4;42;1571;101;0;504;99,04526749;-36,823839;-73,0473;MAS DE $100.000
2022;2m;4700;7;LICEO BICENTENARIO INDUSTRIAL DE LA CONSTRUCCIÓN HERNÁN;8;DEL BIOBÍO;81;CONCEPCI;8112;HUALPÉN;5;2;2;1;220;242;73;57,3;0;0;0;0;0;0;;;SIN INFORMACION
2022;2m;4702;3;LICEO BICENTENARIO ALMIRANTE PEDRO ESPINA RITCHIE;8;DEL BIOBÍO;81;CONCEPCI;8110;TALCAHUANO;2;1;2;1;234;234;64,6;61,5;95;3435;278;278;1031;85,17617618;-36,718712;-73,108902;GRATUITO
2022;2m;4703;1;LICEO INDUSTRIAL JUAN ANTONIO RIOS;8;DEL BIOBÍO;81;CONCEPCI;8110;TALCAHUANO;2;1;2;1;208;231;83;70,8;52;1678;46;46;247;89,60493827;-36,751709;-73,105553;GRATUITO
2022;2m;4706;6;LICEO TÉCNICO PROFESIONAL PEDRO DEL RÍO ZAÑARTU;8;DEL BIOBÍO;81;CONCEPCI;8112;HUALPÉN;2;1;1;1;209;215;73,7;82,1;32;1114;41;41;226;76,48113208;-36,78997;-73,096573;GRATUITO
2022;2m;4707;4;LICEO COMERCIAL PROFESOR SERGIO MORAGA ARCIL;8;DEL BIOBÍO;81;CONCEPCI;8110;TALCAHUANO;2;1;2;1;219;210;67;84,4;79;2704;109;109;535;78,34684685;-36,74675;-73,091431;GRATUITO
2022;2m;4708;2;LICEO POLIVALENTE LAS SALINAS;8;DEL BIOBÍO;81;CONCEPCI;8110;TALCAHUANO;2;1;2;1;223;217;66,7;87,5;37;1283;35;35;197;87,41830065;-36,74612;-73,090042;GRATUITO
2022;2m;4709;0;LICEO TECNICO DE TALCAHUANO;8;DEL BIOBÍO;81;CONCEPCI;8110;TALCAHUANO;2;1;1;1;206;205;86;86,6;64;2332;89;89;599;85,59589041;-36,721329;-73,1092;GRATUITO
